Your phone is ringing again.,Your phone is ringing again.,deletion,3
Your phone's ringing.,Your phone's ringing.,deletion,1
to pitching is far superior Your mine.,Your pitching is far superior to mine.,swap,5
mine? place or Your,Your place or mine?,swap,0
Your plan didn't work.,Your plan didn't work.,insertion,1
"Your plan is a good one, but mine is a better one.","Your plan is a good one, but mine is a better one.",insertion,6
Your bound is plan to fail.,Your plan is bound to fail.,swap,3
Your plan seems better than mine.,Your plan seems better than mine.,deletion,5
Your plan seems excellent.,Your plan seems excellent.,deletion,1
Your plan great. sounds,Your plan sounds great.,swap,2
Your problem is similar to mine.,Your problem is similar to mine.,insertion,3
Your problem is you don't study enough.,Your problem is you don't study enough.,deletion,1
Your problem is you're easily distracted.,Your problem is you're easily distracted.,insertion,4
Your problem is you're not patient enough.,Your problem is you're not patient enough.,insertion,6
Your problems are nothing compared to mine.,Your problems are nothing compared to mine.,insertion,0
Your problems don't concern me.,Your problems don't concern me.,deletion,4
Your pronunciation is excellent.,Your pronunciation is excellent.,deletion,0
Your pronunciation is less or more correct.,Your pronunciation is more or less correct.,swap,5
Your prophecy has come true.,Your prophecy has come true.,insertion,2
Your proposal is a bit extreme.,Your proposal is a bit extreme.,deletion,0
Your proposal is worthy of being considered.,Your proposal is worthy of being considered.,deletion,1
Your pulse is normal.,Your pulse is normal.,deletion,1
Your answer. has no question,Your question has no answer.,swap,1
Your question is hard for me to answer.,Your question is hard for me to answer.,deletion,4
answer. question is hard to Your,Your question is hard to answer.,swap,0
Your question is not relevant to the subject.,Your question is not relevant to the subject.,deletion,0
Your questions were too direct.,Your questions were too direct.,insertion,2
Your refusal to help complicated matters.,Your refusal to help complicated matters.,insertion,4
Your out were remarks of place.,Your remarks were out of place.,swap,1
Your replacement has already been picked.,Your replacement has already been picked.,insertion,5
Your room is big.,Your room is big.,deletion,0
Your is room very big.,Your room is very big.,swap,1
Your sacrifice vain. not in was,Your sacrifice was not in vain.,swap,5
Your secret will be safe with me.,Your secret will be safe with me.,insertion,1
Your secret's safe with us.,Your secret's safe with us.,insertion,4
security Your guard wouldn't let me in.,Your security guard wouldn't let me in.,swap,1
Your services are no longer required.,Your services are no longer required.,deletion,5
Your shelf is full of books.,Your shelf is full of books.,insertion,0
Your be should shipment delivered within twenty four hours.,Your shipment should be delivered within twenty four hours.,swap,1
Your shirt button is coming off.,Your shirt button is coming off.,insertion,0
Your shirt is inside out.,Your shirt is inside out.,insertion,4
Your shoes are here.,Your shoes are here.,insertion,0
Your shoes are untied.,Your shoes are untied.,deletion,1
Your shoes are wet. Put them near the fire.,Your shoes are wet. Put them near the fire.,deletion,7
Your go don't shoes with that outfit.,Your shoes don't go with that outfit.,swap,1
Your singing puts professional singers to shame.,Your singing puts professional singers to shame.,deletion,1
"Your sister cannot swim can well, she?","Your sister cannot swim well, can she?",swap,5
Your sister is beautiful as ever.,Your sister is beautiful as ever.,deletion,2
Your sister's as beautiful ever. as,Your sister's as beautiful as ever.,swap,4
Your smile makes always me happy.,Your smile always makes me happy.,swap,3
Your socks don't match.,Your socks don't match.,deletion,1
Your son is a genius.,Your son is a genius.,insertion,2
my son is dating Your daughter.,Your son is dating my daughter.,swap,0
Your son must be quite tall by now.,Your son must be quite tall by now.,deletion,2
needs soul Your to be saved.,Your soul needs to be saved.,swap,2
Your speech will be recorded in history.,Your speech will be recorded in history.,deletion,6
Your story is hard to believe.,Your story is hard to believe.,insertion,1
Your stupid remark just added fuel to the flames.,Your stupid remark just added fuel to the flames.,insertion,7
Your sudden appearance surprised me.,Your sudden appearance surprised me.,insertion,0
Your suggestion is use. no practical of,Your suggestion is of no practical use.,swap,3
seems suggestion Your irrelevant to our discussion here.,Your suggestion seems irrelevant to our discussion here.,swap,0
Your suggestion seems reasonable.,Your suggestion seems reasonable.,insertion,2
Your suitcase is too heavy.,Your suitcase is too heavy.,insertion,4
Your sweater is on backwards.,Your sweater is on backwards.,deletion,2
Your tea will get cold if you drink don't it now.,Your tea will get cold if you don't drink it now.,swap,8
Your team is better ours. than,Your team is better than ours.,swap,4
Your team is stronger than ours.,Your team is stronger than ours.,insertion,4
"Your telephone's ringing, Tom.","Your telephone's ringing, Tom.",insertion,2
Your theory has no scientific basis.,Your theory has no scientific basis.,insertion,2
Your things are all here.,Your things are all here.,deletion,4
