i m addicted .,i m addicted .,i m addicted .,1
tom prefers blondes .,tom sounded me .,tom prefers blondes .,0
i see your house .,i see your house .,i see your house .,1
i m baffled .,i m certain .,i m baffled .,0
you need to sleep .,you need to sleep .,you need to sleep .,1
i appreciate your vigilance .,i appreciate your vigilance .,i appreciate your vigilance .,1
someone is coming .,someone is coming .,someone is coming .,1
we were worried .,we were worried .,we were worried .,1
attack !,run !,attack !,0
i was on patrol .,i was on thin .,i was on patrol .,0
he touched me .,he touched me .,he touched me .,1
i got busy .,i got busy .,i got busy .,1
give him a hug .,give him a hug .,give him a hug .,1
i lost the watch .,i lost the watch .,i lost the watch .,1
they re not criminals .,they re not chicken .,they re not criminals .,0
you re very generous .,you re very generous .,you re very generous .,1
you re very intelligent .,you re very intelligent .,you re very intelligent .,1
i confessed .,i confessed .,i confessed .,1
take off your cap .,take off your cap .,take off your cap .,1
it s pretty new .,it s pretty new .,it s pretty new .,1
don t lose heart .,don t lose heart .,don t lose heart .,1
tom became an engineer .,tom became an engineer .,tom became an engineer .,1
are you leaving now ?,are you leaving now ?,are you leaving now ?,1
i was distracted .,i was distracted .,i was distracted .,1
tom is at work .,tom is at work .,tom is at work .,1
my eyes are tired .,my eyes are tired .,my eyes are tired .,1
no one s talking .,no one s talking .,no one s talking .,1
how beautiful she is !,how beautiful she is !,how beautiful she is !,1
wonderful !,wonderful !,wonderful !,1
stand on the scales .,stand on the scales .,stand on the scales .,1
you re not dressed .,you re not dressed .,you re not dressed .,1
you re very stylish .,you re very stylish .,you re very stylish .,1
he can hardly speak .,he can hardly speak .,he can hardly speak .,1
i nearly starved .,i nearly starved .,i nearly starved .,1
i kept my word .,i kept my word .,i kept my word .,1
i love you people .,i love you people .,i love you people .,1
it s insanely complex .,it s complex complex .,it s insanely complex .,0
we re not done .,we re not done .,we re not done .,1
read it to me .,read it to me .,read it to me .,1
he studied hard .,he studied hard .,he studied hard .,1
business is slow .,business is slow .,business is slow .,1
i contributed .,i contributed .,i contributed .,1
are we lost ?,are we lost ?,are we lost ?,1
sorry to bother you .,sorry to run you .,sorry to bother you .,0
they re cool .,they re cool .,they re cool .,1
i feel feverish .,i feel lucky .,i feel feverish .,0
what have you done ?,what have you done ?,what have you done ?,1
i dislike being alone .,i dislike being alone .,i dislike being alone .,1
you re crafty .,you re crafty .,you re crafty .,1
i told you so .,i told you so .,i told you so .,1
turn around please .,turn around please .,turn around please .,1
that won t work !,that won t work !,that won t work !,1
you can go back .,you can go back .,you can go back .,1
he left the house .,he left the house .,he left the house .,1
tom changed his diet .,tom changed his diet .,tom changed his diet .,1
what s the target ?,what s the target ?,what s the target ?,1
we ll drive .,we ll drive .,we ll drive .,1
you were perfect .,you were perfect .,you were perfect .,1
pick a weapon .,pick a weapon .,pick a weapon .,1
leave a message .,leave a message .,leave a message .,1
my friend is bilingual .,my friend is my .,my friend is bilingual .,0
that s odd .,that s odd .,that s odd .,1
you re quite attractive .,you re quite attractive .,you re quite attractive .,1
he barely escaped death .,he held little death .,he barely escaped death .,0
the check bounced .,the check check .,the check bounced .,0
thanks for coming .,thanks for coming .,thanks for coming .,1
hop in .,hop in .,hop in .,1
i felt guilty .,i felt guilty .,i felt guilty .,1
this is good news .,this is good news .,this is good news .,1
are there any questions ?,are there any questions ?,are there any questions ?,1
i followed the recipe .,i followed the store .,i followed the recipe .,0
please be serious .,please be serious .,please be serious .,1
they live downstairs .,they live downstairs .,they live downstairs .,1
this one is prettier .,this one is this .,this one is prettier .,0
welcome back .,welcome back .,welcome back .,1
just leave me alone .,leave leave me alone .,just leave me alone .,0
suddenly something unexpected happened .,something something unexpected happened .,suddenly something unexpected happened .,0
the situation appears desperate .,the situation was desperate .,the situation appears desperate .,0
would you step aside ?,would you step aside ?,would you step aside ?,1
what will that achieve ?,what will that clear ?,what will that achieve ?,0
he considered himself lucky .,he considered himself lucky .,he considered himself lucky .,1
let s ask .,let s ask .,let s ask .,1
you ate my sandwich .,you ate my sandwich .,you ate my sandwich .,1
it s quite large .,it s quite large .,it s quite large .,1
i worked with tom .,i worked with tom .,i worked with tom .,1
can i keep this ?,can i keep this ?,can i keep this ?,1
i was eventually released .,i was eventually released .,i was eventually released .,1
you re too slow .,you re too slow .,you re too slow .,1
this is justified .,this is irrelevant .,this is justified .,0
need a lift ?,need a need ?,need a lift ?,0
they re all liars .,they re all liars .,they re all liars .,1
i was cleaning .,i was home .,i was cleaning .,0
that was great advice .,that was great great .,that was great advice .,0
i was just leaving .,i was just leaving .,i was just leaving .,1
did anybody see you ?,did anybody see you ?,did anybody see you ?,1
don t be upset .,don t be upset .,don t be upset .,1
what is popular now ?,what is going now ?,what is popular now ?,0
are you japanese ?,are you japanese ?,are you japanese ?,1
she gained weight .,she gained weight .,she gained weight .,1
nobody tells me anything .,nobody will me anything .,nobody tells me anything .,0
be a man .,be a man .,be a man .,1
whose friend is he ?,whose friend is he ?,whose friend is he ?,1
are you that stupid ?,are you that stupid ?,are you that stupid ?,1
where s your school ?,where s your school ?,where s your school ?,1
you ve done enough .,you ve done enough .,you ve done enough .,1
i recovered .,i recovered .,i recovered .,1
let s all go .,let s all go .,let s all go .,1
who is that man ?,who is that man ?,who is that man ?,1
i admire your determination .,i admire your holiday .,i admire your determination .,0
i m absolutely sure !,i m absolutely sure !,i m absolutely sure !,1
i continued singing .,i continued singing .,i continued singing .,1
he was very fun .,he was very fun .,he was very fun .,1
speak more slowly please !,speak more slowly please !,speak more slowly please !,1
speak up !,speak up !,speak up !,1
they want you dead .,they want you dead .,they want you dead .,1
tom is still dangerous .,tom is still dangerous .,tom is still dangerous .,1
i just got tenure .,i just got remarried .,i just got tenure .,0
everything was wrong .,everything was wrong .,everything was wrong .,1
they re all guilty .,they re all guilty .,they re all guilty .,1
love hurts .,love hurts .,love hurts .,1
everyone likes them .,everyone likes them .,everyone likes them .,1
they followed you here .,they followed you here .,they followed you here .,1
you idiot !,you you !,you idiot !,0
that seems highly unlikely .,that seems highly unlikely .,that seems highly unlikely .,1
we re all here .,we re all here .,we re all here .,1
i almost passed out .,i almost passed out .,i almost passed out .,1
everybody believes it .,everybody believes it .,everybody believes it .,1
do as you want .,do as you want .,do as you want .,1
i love that idea .,i love that idea .,i love that idea .,1
we re sincere .,we re sincere .,we re sincere .,1
you should go now .,you should go now .,you should go now .,1
be polite but firm .,be polite but firm .,be polite but firm .,1
i d be delighted .,i d be delighted .,i d be delighted .,1
you re the leader .,you re the leader .,you re the leader .,1
roll down the window .,roll down the window .,roll down the window .,1
what do you see ?,what do you see ?,what do you see ?,1
stop screaming .,stop screaming .,stop screaming .,1
don t do this .,don t do this .,don t do this .,1
this is for you .,this is for you .,this is for you .,1
you re very wise .,you re very wise .,you re very wise .,1
you re arrogant .,you re arrogant .,you re arrogant .,1
i m restless .,i m restless .,i m restless .,1
he delivers newspapers .,he delivers newspapers .,he delivers newspapers .,1
the effect was immediate .,the effect was immediate .,the effect was immediate .,1
join us .,join us .,join us .,1
i lost my wallet .,i lost my books .,i lost my wallet .,0
stir the soup .,stir the soup .,stir the soup .,1
that should do it .,that would do it .,that should do it .,0
here we are .,here we are .,here we are .,1
are you dressed ?,are you dressed ?,are you dressed ?,1
is it to go ?,is it to go ?,is it to go ?,1
i study very little .,i study very little .,i study very little .,1
it looks really good .,it looks really good .,it looks really good .,1
please be serious .,please be serious .,please be serious .,1
that s totally irresponsible .,that s totally impressive .,that s totally irresponsible .,0
no one flinched .,no one flinched .,no one flinched .,1
tom s famous .,tom s famous .,tom s famous .,1
i envy you .,i envy you .,i envy you .,1
i ll support him .,i ll support him .,i ll support him .,1
i can ski .,i can ski .,i can ski .,1
i stopped laughing .,i stopped laughing .,i stopped laughing .,1
